"cat01_code","(F002-23-009)被害項目","area_code","(F002-23-2)全国農業地域・都道府県","unit","value"
"001","合計_被害面積","N0001","全国","ha","3947000"
"001","合計_被害面積","N0002","北海道","ha","255900"
"001","合計_被害面積","N0003","都府県","ha","3690000"
"001","合計_被害面積","N0004","東北","ha","1252000"
"001","合計_被害面積","N0005","北陸","ha","317600"
"001","合計_被害面積","N0006","関東・東山","ha","620200"
"001","合計_被害面積","N0007","東海","ha","225000"
"001","合計_被害面積","N0008","近畿","ha","252900"
"001","合計_被害面積","N0009","中国","ha","232600"
"001","合計_被害面積","N0010","四国","ha","185100"
"001","合計_被害面積","N0011","九州","ha","603900"
"001","合計_被害面積","N0012","沖縄","ha","1890"
"001","合計_被害面積","01000","北海道","ha","255900"
"001","合計_被害面積","02000","青森県","ha","95700"
"001","合計_被害面積","03000","岩手県","ha","185300"
"001","合計_被害面積","04000","宮城県","ha","238400"
"001","合計_被害面積","05000","秋田県","ha","302100"
"001","合計_被害面積","06000","山形県","ha","257400"
"001","合計_被害面積","07000","福島県","ha","172800"
"001","合計_被害面積","08000","茨城県","ha","134700"
"001","合計_被害面積","09000","栃木県","ha","130700"
"001","合計_被害面積","10000","群馬県","ha","31700"
"001","合計_被害面積","11000","埼玉県","ha","109300"
"001","合計_被害面積","12000","千葉県","ha","79100"
"001","合計_被害面積","13000","東京都","ha","129"
"001","合計_被害面積","14000","神奈川県","ha","3130"
"001","合計_被害面積","15000","新潟県","ha","235100"
"001","合計_被害面積","16000","富山県","ha","34200"
"001","合計_被害面積","17000","石川県","ha","17600"
"001","合計_被害面積","18000","福井県","ha","30500"
"001","合計_被害面積","19000","山梨県","ha","7060"
"001","合計_被害面積","20000","長野県","ha","124400"
"001","合計_被害面積","21000","岐阜県","ha","45000"
"001","合計_被害面積","22000","静岡県","ha","26500"
"001","合計_被害面積","23000","愛知県","ha","72700"
"001","合計_被害面積","24000","三重県","ha","80800"
"001","合計_被害面積","25000","滋賀県","ha","102200"
"001","合計_被害面積","26000","京都府","ha","23500"
"001","合計_被害面積","27000","大阪府","ha","7720"
"001","合計_被害面積","28000","兵庫県","ha","86600"
"001","合計_被害面積","29000","奈良県","ha","13500"
"001","合計_被害面積","30000","和歌山県","ha","19100"
"001","合計_被害面積","31000","鳥取県","ha","25700"
"001","合計_被害面積","32000","島根県","ha","30400"
"001","合計_被害面積","33000","岡山県","ha","85000"
"001","合計_被害面積","34000","広島県","ha","37500"
"001","合計_被害面積","35000","山口県","ha","54000"
"001","合計_被害面積","36000","徳島県","ha","50700"
"001","合計_被害面積","37000","香川県","ha","51800"
"001","合計_被害面積","38000","愛媛県","ha","44400"
"001","合計_被害面積","39000","高知県","ha","38200"
"001","合計_被害面積","40000","福岡県","ha","117400"
"001","合計_被害面積","41000","佐賀県","ha","66600"
"001","合計_被害面積","42000","長崎県","ha","31900"
"001","合計_被害面積","43000","熊本県","ha","115000"
"001","合計_被害面積","44000","大分県","ha","74200"
"001","合計_被害面積","45000","宮崎県","ha","66000"
"001","合計_被害面積","46000","鹿児島県","ha","133100"
"001","合計_被害面積","47000","沖縄県","ha","1890"
"001","合計_被害面積","N0013","関東農政局","ha","646700"
"001","合計_被害面積","N0014","東海農政局","ha","198400"
"001","合計_被害面積","N0015","中国四国農政局","ha","417600"
"002","合計_被害実面積","N0001","全国","ha","1432000"
"002","合計_被害実面積","N0002","北海道","ha","111900"
"002","合計_被害実面積","N0003","都府県","ha","1320000"
"002","合計_被害実面積","N0004","東北","ha","377200"
"002","合計_被害実面積","N0005","北陸","ha","165900"
"002","合計_被害実面積","N0006","関東・東山","ha","247200"
"002","合計_被害実面積","N0007","東海","ha","93000"
"002","合計_被害実面積","N0008","近畿","ha","99400"
"002","合計_被害実面積","N0009","中国","ha","101800"
"002","合計_被害実面積","N0010","四国","ha","54800"
"002","合計_被害実面積","N0011","九州","ha","180200"
"002","合計_被害実面積","N0012","沖縄","ha","651"
"002","合計_被害実面積","01000","北海道","ha","111900"
"002","合計_被害実面積","02000","青森県","ha","37900"
"002","合計_被害実面積","03000","岩手県","ha","54500"
"002","合計_被害実面積","04000","宮城県","ha","66400"
"002","合計_被害実面積","05000","秋田県","ha","90000"
"002","合計_被害実面積","06000","山形県","ha","66700"
"002","合計_被害実面積","07000","福島県","ha","61700"
"002","合計_被害実面積","08000","茨城県","ha","59900"
"002","合計_被害実面積","09000","栃木県","ha","54000"
"002","合計_被害実面積","10000","群馬県","ha","15700"
"002","合計_被害実面積","11000","埼玉県","ha","35200"
"002","合計_被害実面積","12000","千葉県","ha","43300"
"002","合計_被害実面積","13000","東京都","ha","100"
"002","合計_被害実面積","14000","神奈川県","ha","1810"
"002","合計_被害実面積","15000","新潟県","ha","111700"
"002","合計_被害実面積","16000","富山県","ha","22600"
"002","合計_被害実面積","17000","石川県","ha","12100"
"002","合計_被害実面積","18000","福井県","ha","19500"
"002","合計_被害実面積","19000","山梨県","ha","3020"
"002","合計_被害実面積","20000","長野県","ha","34200"
"002","合計_被害実面積","21000","岐阜県","ha","19700"
"002","合計_被害実面積","22000","静岡県","ha","15500"
"002","合計_被害実面積","23000","愛知県","ha","27500"
"002","合計_被害実面積","24000","三重県","ha","30300"
"002","合計_被害実面積","25000","滋賀県","ha","32700"
"002","合計_被害実面積","26000","京都府","ha","12800"
"002","合計_被害実面積","27000","大阪府","ha","5740"
"002","合計_被害実面積","28000","兵庫県","ha","33500"
"002","合計_被害実面積","29000","奈良県","ha","7620"
"002","合計_被害実面積","30000","和歌山県","ha","7030"
"002","合計_被害実面積","31000","鳥取県","ha","14100"
"002","合計_被害実面積","32000","島根県","ha","13400"
"002","合計_被害実面積","33000","岡山県","ha","33100"
"002","合計_被害実面積","34000","広島県","ha","18200"
"002","合計_被害実面積","35000","山口県","ha","23000"
"002","合計_被害実面積","36000","徳島県","ha","13200"
"002","合計_被害実面積","37000","香川県","ha","14500"
"002","合計_被害実面積","38000","愛媛県","ha","15100"
"002","合計_被害実面積","39000","高知県","ha","12000"
"002","合計_被害実面積","40000","福岡県","ha","36700"
"002","合計_被害実面積","41000","佐賀県","ha","25800"
"002","合計_被害実面積","42000","長崎県","ha","13300"
"002","合計_被害実面積","43000","熊本県","ha","37900"
"002","合計_被害実面積","44000","大分県","ha","23400"
"002","合計_被害実面積","45000","宮崎県","ha","19000"
"002","合計_被害実面積","46000","鹿児島県","ha","24100"
"002","合計_被害実面積","47000","沖縄県","ha","651"
"002","合計_被害実面積","N0013","関東農政局","ha","262700"
"002","合計_被害実面積","N0014","東海農政局","ha","77500"
"002","合計_被害実面積","N0015","中国四国農政局","ha","156600"
"003","合計_被害量","N0001","全国","t","630100"
"003","合計_被害量","N0002","北海道","t","27000"
"003","合計_被害量","N0003","都府県","t","603200"
"003","合計_被害量","N0004","東北","t","167500"
"003","合計_被害量","N0005","北陸","t","45900"
"003","合計_被害量","N0006","関東・東山","t","134300"
"003","合計_被害量","N0007","東海","t","37300"
"003","合計_被害量","N0008","近畿","t","41300"
"003","合計_被害量","N0009","中国","t","39800"
"003","合計_被害量","N0010","四国","t","32100"
"003","合計_被害量","N0011","九州","t","104900"
"003","合計_被害量","N0012","沖縄","t","473"
"003","合計_被害量","01000","北海道","t","27000"
"003","合計_被害量","02000","青森県","t","16800"
"003","合計_被害量","03000","岩手県","t","18500"
"003","合計_被害量","04000","宮城県","t","25900"
"003","合計_被害量","05000","秋田県","t","45500"
"003","合計_被害量","06000","山形県","t","39100"
"003","合計_被害量","07000","福島県","t","21500"
"003","合計_被害量","08000","茨城県","t","43700"
"003","合計_被害量","09000","栃木県","t","23500"
"003","合計_被害量","10000","群馬県","t","9710"
"003","合計_被害量","11000","埼玉県","t","18400"
"003","合計_被害量","12000","千葉県","t","19600"
"003","合計_被害量","13000","東京都","t","11"
"003","合計_被害量","14000","神奈川県","t","301"
"003","合計_被害量","15000","新潟県","t","35200"
"003","合計_被害量","16000","富山県","t","3180"
"003","合計_被害量","17000","石川県","t","2780"
"003","合計_被害量","18000","福井県","t","4740"
"003","合計_被害量","19000","山梨県","t","1930"
"003","合計_被害量","20000","長野県","t","17100"
"003","合計_被害量","21000","岐阜県","t","8650"
"003","合計_被害量","22000","静岡県","t","4390"
"003","合計_被害量","23000","愛知県","t","7620"
"003","合計_被害量","24000","三重県","t","16500"
"003","合計_被害量","25000","滋賀県","t","14900"
"003","合計_被害量","26000","京都府","t","3840"
"003","合計_被害量","27000","大阪府","t","1890"
"003","合計_被害量","28000","兵庫県","t","14500"
"003","合計_被害量","29000","奈良県","t","2860"
"003","合計_被害量","30000","和歌山県","t","3300"
"003","合計_被害量","31000","鳥取県","t","5850"
"003","合計_被害量","32000","島根県","t","6100"
"003","合計_被害量","33000","岡山県","t","11200"
"003","合計_被害量","34000","広島県","t","8970"
"003","合計_被害量","35000","山口県","t","7520"
"003","合計_被害量","36000","徳島県","t","9820"
"003","合計_被害量","37000","香川県","t","9400"
"003","合計_被害量","38000","愛媛県","t","6640"
"003","合計_被害量","39000","高知県","t","6340"
"003","合計_被害量","40000","福岡県","t","14600"
"003","合計_被害量","41000","佐賀県","t","11200"
"003","合計_被害量","42000","長崎県","t","6660"
"003","合計_被害量","43000","熊本県","t","21200"
"003","合計_被害量","44000","大分県","t","16600"
"003","合計_被害量","45000","宮崎県","t","16400"
"003","合計_被害量","46000","鹿児島県","t","18200"
"003","合計_被害量","47000","沖縄県","t","473"
"003","合計_被害量","N0013","関東農政局","t","138800"
"003","合計_被害量","N0014","東海農政局","t","32900"
"003","合計_被害量","N0015","中国四国農政局","t","72000"
"004","合計_被害面積率","N0001","全国","％","250.8"
"004","合計_被害面積率","N0002","北海道","％","226.7"
"004","合計_被害面積率","N0003","都府県","％","252.6"
"004","合計_被害面積率","N0004","東北","％","321.9"
"004","合計_被害面積率","N0005","北陸","％","152.1"
"004","合計_被害面積率","N0006","関東・東山","％","209.8"
"004","合計_被害面積率","N0007","東海","％","219.7"
"004","合計_被害面積率","N0008","近畿","％","231.4"
"004","合計_被害面積率","N0009","中国","％","202.1"
"004","合計_被害面積率","N0010","四国","％","329.4"
"004","合計_被害面積率","N0011","九州","％","329.1"
"004","合計_被害面積率","N0012","沖縄","％","205.2"
"004","合計_被害面積率","01000","北海道","％","226.7"
"004","合計_被害面積率","02000","青森県","％","204.1"
"004","合計_被害面積率","03000","岩手県","％","340.0"
"004","合計_被害面積率","04000","宮城県","％","359.0"
"004","合計_被害面積率","05000","秋田県","％","335.7"
"004","合計_被害面積率","06000","山形県","％","385.9"
"004","合計_被害面積率","07000","福島県","％","268.3"
"004","合計_被害面積率","08000","茨城県","％","178.4"
"004","合計_被害面積率","09000","栃木県","％","204.2"
"004","合計_被害面積率","10000","群馬県","％","180.1"
"004","合計_被害面積率","11000","埼玉県","％","310.5"
"004","合計_被害面積率","12000","千葉県","％","131.0"
"004","合計_被害面積率","13000","東京都","％","78.2"
"004","合計_被害面積率","14000","神奈川県","％","97.2"
"004","合計_被害面積率","15000","新潟県","％","200.3"
"004","合計_被害面積率","16000","富山県","％","87.9"
"004","合計_被害面積率","17000","石川県","％","67.7"
"004","合計_被害面積率","18000","福井県","％","115.1"
"004","合計_被害面積率","19000","山梨県","％","133.5"
"004","合計_被害面積率","20000","長野県","％","363.7"
"004","合計_被害面積率","21000","岐阜県","％","182.9"
"004","合計_被害面積率","22000","静岡県","％","154.1"
"004","合計_被害面積率","23000","愛知県","％","239.9"
"004","合計_被害面積率","24000","三重県","％","266.7"
"004","合計_被害面積率","25000","滋賀県","％","312.5"
"004","合計_被害面積率","26000","京都府","％","150.6"
"004","合計_被害面積率","27000","大阪府","％","134.5"
"004","合計_被害面積率","28000","兵庫県","％","225.5"
"004","合計_被害面積率","29000","奈良県","％","144.7"
"004","合計_被害面積率","30000","和歌山県","％","251.6"
"004","合計_被害面積率","31000","鳥取県","％","182.3"
"004","合計_被害面積率","32000","島根県","％","160.0"
"004","合計_被害面積率","33000","岡山県","％","256.8"
"004","合計_被害面積率","34000","広島県","％","144.2"
"004","合計_被害面積率","35000","山口県","％","234.8"
"004","合計_被害面積率","36000","徳島県","％","384.1"
"004","合計_被害面積率","37000","香川県","％","352.4"
"004","合計_被害面積率","38000","愛媛県","％","288.3"
"004","合計_被害面積率","39000","高知県","％","296.1"
"004","合計_被害面積率","40000","福岡県","％","303.4"
"004","合計_被害面積率","41000","佐賀県","％","250.4"
"004","合計_被害面積率","42000","長崎県","％","232.8"
"004","合計_被害面積率","43000","熊本県","％","303.4"
"004","合計_被害面積率","44000","大分県","％","315.7"
"004","合計_被害面積率","45000","宮崎県","％","347.4"
"004","合計_被害面積率","46000","鹿児島県","％","552.3"
"004","合計_被害面積率","47000","沖縄県","％","205.2"
"004","合計_被害面積率","N0013","関東農政局","％","206.7"
"004","合計_被害面積率","N0014","東海農政局","％","232.9"
"004","合計_被害面積率","N0015","中国四国農政局","％","243.8"
"005","合計_被害実面積率","N0001","全国","％","91.0"
"005","合計_被害実面積率","N0002","北海道","％","99.1"
"005","合計_被害実面積率","N0003","都府県","％","90.3"
"005","合計_被害実面積率","N0004","東北","％","97.0"
"005","合計_被害実面積率","N0005","北陸","％","79.5"
"005","合計_被害実面積率","N0006","関東・東山","％","83.6"
"005","合計_被害実面積率","N0007","東海","％","90.8"
"005","合計_被害実面積率","N0008","近畿","％","90.9"
"005","合計_被害実面積率","N0009","中国","％","88.4"
"005","合計_被害実面積率","N0010","四国","％","97.5"
"005","合計_被害実面積率","N0011","九州","％","98.2"
"005","合計_被害実面積率","N0012","沖縄","％","70.7"
"005","合計_被害実面積率","01000","北海道","％","99.1"
"005","合計_被害実面積率","02000","青森県","％","80.8"
"005","合計_被害実面積率","03000","岩手県","％","100.0"
"005","合計_被害実面積率","04000","宮城県","％","100.0"
"005","合計_被害実面積率","05000","秋田県","％","100.0"
"005","合計_被害実面積率","06000","山形県","％","100.0"
"005","合計_被害実面積率","07000","福島県","％","95.8"
"005","合計_被害実面積率","08000","茨城県","％","79.3"
"005","合計_被害実面積率","09000","栃木県","％","84.4"
"005","合計_被害実面積率","10000","群馬県","％","89.2"
"005","合計_被害実面積率","11000","埼玉県","％","100.0"
"005","合計_被害実面積率","12000","千葉県","％","71.7"
"005","合計_被害実面積率","13000","東京都","％","60.6"
"005","合計_被害実面積率","14000","神奈川県","％","56.2"
"005","合計_被害実面積率","15000","新潟県","％","95.1"
"005","合計_被害実面積率","16000","富山県","％","58.1"
"005","合計_被害実面積率","17000","石川県","％","46.5"
"005","合計_被害実面積率","18000","福井県","％","73.6"
"005","合計_被害実面積率","19000","山梨県","％","57.1"
"005","合計_被害実面積率","20000","長野県","％","100.0"
"005","合計_被害実面積率","21000","岐阜県","％","80.1"
"005","合計_被害実面積率","22000","静岡県","％","90.1"
"005","合計_被害実面積率","23000","愛知県","％","90.8"
"005","合計_被害実面積率","24000","三重県","％","100.0"
"005","合計_被害実面積率","25000","滋賀県","％","100.0"
"005","合計_被害実面積率","26000","京都府","％","82.1"
"005","合計_被害実面積率","27000","大阪府","％","100.0"
"005","合計_被害実面積率","28000","兵庫県","％","87.2"
"005","合計_被害実面積率","29000","奈良県","％","81.7"
"005","合計_被害実面積率","30000","和歌山県","％","92.6"
"005","合計_被害実面積率","31000","鳥取県","％","100.0"
"005","合計_被害実面積率","32000","島根県","％","70.5"
"005","合計_被害実面積率","33000","岡山県","％","100.0"
"005","合計_被害実面積率","34000","広島県","％","70.0"
"005","合計_被害実面積率","35000","山口県","％","100.0"
"005","合計_被害実面積率","36000","徳島県","％","100.0"
"005","合計_被害実面積率","37000","香川県","％","98.6"
"005","合計_被害実面積率","38000","愛媛県","％","98.1"
"005","合計_被害実面積率","39000","高知県","％","93.0"
"005","合計_被害実面積率","40000","福岡県","％","94.8"
"005","合計_被害実面積率","41000","佐賀県","％","97.0"
"005","合計_被害実面積率","42000","長崎県","％","97.1"
"005","合計_被害実面積率","43000","熊本県","％","100.0"
"005","合計_被害実面積率","44000","大分県","％","99.6"
"005","合計_被害実面積率","45000","宮崎県","％","100.0"
"005","合計_被害実面積率","46000","鹿児島県","％","100.0"
"005","合計_被害実面積率","47000","沖縄県","％","70.7"
"005","合計_被害実面積率","N0013","関東農政局","％","84.0"
"005","合計_被害実面積率","N0014","東海農政局","％","91.0"
"005","合計_被害実面積率","N0015","中国四国農政局","％","91.4"
"006","合計_被害率","N0001","全国","％","7.6"
"006","合計_被害率","N0002","北海道","％","4.5"
"006","合計_被害率","N0003","都府県","％","7.8"
"006","合計_被害率","N0004","東北","％","7.7"
"006","合計_被害率","N0005","北陸","％","4.1"
"006","合計_被害率","N0006","関東・東山","％","8.5"
"006","合計_被害率","N0007","東海","％","7.2"
"006","合計_被害率","N0008","近畿","％","7.4"
"006","合計_被害率","N0009","中国","％","6.7"
"006","合計_被害率","N0010","四国","％","11.8"
