"cat01_code","平成29水稲被害面積被害量","cat02_code","平成29水稲被害率被害量","area_code","全国、都府県、全国農業地域","time_code","時間軸（年次）","unit","value"
"100","気象被害_冷害","110","被害量","01000","北海道","2017000000","2017年","ｔ","12200"
"100","気象被害_冷害","110","被害量","02000","青森県","2017000000","2017年","ｔ","2850"
"100","気象被害_冷害","110","被害量","03000","岩手県","2017000000","2017年","ｔ","3680"
"100","気象被害_冷害","110","被害量","04000","宮城県","2017000000","2017年","ｔ","4280"
"100","気象被害_冷害","110","被害量","05000","秋田県","2017000000","2017年","ｔ","1110"
"100","気象被害_冷害","110","被害量","06000","山形県","2017000000","2017年","ｔ","10800"
"100","気象被害_冷害","110","被害量","07000","福島県","2017000000","2017年","ｔ","2200"
"100","気象被害_冷害","110","被害量","08000","茨城県","2017000000","2017年","ｔ","1250"
"100","気象被害_冷害","110","被害量","09000","栃木県","2017000000","2017年","ｔ","5000"
"100","気象被害_冷害","110","被害量","10000","群馬県","2017000000","2017年","ｔ","3"
"100","気象被害_冷害","110","被害量","11000","埼玉県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","12000","千葉県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","13000","東京都","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","14000","神奈川県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","15000","新潟県","2017000000","2017年","ｔ","50"
"100","気象被害_冷害","110","被害量","16000","富山県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","17000","石川県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","18000","福井県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","19000","山梨県","2017000000","2017年","ｔ","150"
"100","気象被害_冷害","110","被害量","20000","長野県","2017000000","2017年","ｔ","1200"
"100","気象被害_冷害","110","被害量","21000","岐阜県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","22000","静岡県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","23000","愛知県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","24000","三重県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","25000","滋賀県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","26000","京都府","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","27000","大阪府","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","28000","兵庫県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","29000","奈良県","2017000000","2017年","ｔ","0"
"100","気象被害_冷害","110","被害量","30000","和歌山県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","31000","鳥取県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","32000","島根県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","33000","岡山県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","34000","広島県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","35000","山口県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","36000","徳島県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","37000","香川県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","38000","愛媛県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","39000","高知県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","40000","福岡県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","41000","佐賀県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","42000","長崎県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","43000","熊本県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","44000","大分県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","45000","宮崎県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","46000","鹿児島県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","47000","沖縄県","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","N0001","関東農政局","2017000000","2017年","ｔ","7600"
"100","気象被害_冷害","110","被害量","N0002","東海農政局","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","110","被害量","N0003","中国四国農政局","2017000000","2017年","ｔ","－"
"100","気象被害_冷害","120","被害率_実数","00000","全国","2017000000","2017年","％","0.6"
"100","気象被害_冷害","120","被害率_実数","00042","北海道","2017000000","2017年","％","2.2"
"100","気象被害_冷害","120","被害率_実数","N0010","都府県","2017000000","2017年","％","0.5"
"100","気象被害_冷害","120","被害率_実数","00043","東北","2017000000","2017年","％","1.2"
"100","気象被害_冷害","120","被害率_実数","00049","北陸","2017000000","2017年","％","0.0"
"100","気象被害_冷害","120","被害率_実数","N0004","関東・東山","2017000000","2017年","％","0.5"
"100","気象被害_冷害","120","被害率_実数","00050","東海","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","00051","近畿","2017000000","2017年","％","0.0"
"100","気象被害_冷害","120","被害率_実数","00053","中国","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","00054","四国","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","00056","九州","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","00057","沖縄","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","01000","北海道","2017000000","2017年","％","2.2"
"100","気象被害_冷害","120","被害率_実数","02000","青森県","2017000000","2017年","％","1.1"
"100","気象被害_冷害","120","被害率_実数","03000","岩手県","2017000000","2017年","％","1.4"
"100","気象被害_冷害","120","被害率_実数","04000","宮城県","2017000000","2017年","％","1.2"
"100","気象被害_冷害","120","被害率_実数","05000","秋田県","2017000000","2017年","％","0.2"
"100","気象被害_冷害","120","被害率_実数","06000","山形県","2017000000","2017年","％","2.8"
"100","気象被害_冷害","120","被害率_実数","07000","福島県","2017000000","2017年","％","0.6"
"100","気象被害_冷害","120","被害率_実数","08000","茨城県","2017000000","2017年","％","0.4"
"100","気象被害_冷害","120","被害率_実数","09000","栃木県","2017000000","2017年","％","1.6"
"100","気象被害_冷害","120","被害率_実数","10000","群馬県","2017000000","2017年","％","0.0"
"100","気象被害_冷害","120","被害率_実数","11000","埼玉県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","12000","千葉県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","13000","東京都","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","14000","神奈川県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","15000","新潟県","2017000000","2017年","％","0.0"
"100","気象被害_冷害","120","被害率_実数","16000","富山県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","17000","石川県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","18000","福井県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","19000","山梨県","2017000000","2017年","％","0.6"
"100","気象被害_冷害","120","被害率_実数","20000","長野県","2017000000","2017年","％","0.6"
"100","気象被害_冷害","120","被害率_実数","21000","岐阜県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","22000","静岡県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","23000","愛知県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","24000","三重県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","25000","滋賀県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","26000","京都府","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","27000","大阪府","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","28000","兵庫県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","29000","奈良県","2017000000","2017年","％","0.0"
"100","気象被害_冷害","120","被害率_実数","30000","和歌山県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","31000","鳥取県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","32000","島根県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","33000","岡山県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","34000","広島県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","35000","山口県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","36000","徳島県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","37000","香川県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","38000","愛媛県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","39000","高知県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","40000","福岡県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","41000","佐賀県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","42000","長崎県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","43000","熊本県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","44000","大分県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","45000","宮崎県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","46000","鹿児島県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","47000","沖縄県","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","N0001","関東農政局","2017000000","2017年","％","0.5"
"100","気象被害_冷害","120","被害率_実数","N0002","東海農政局","2017000000","2017年","％","－"
"100","気象被害_冷害","120","被害率_実数","N0003","中国四国農政局","2017000000","2017年","％","－"
"100","気象被害_冷害","130","被害率_対前年差","00000","全国","2017000000","2017年","ﾎﾟｲﾝﾄ","0.3"
"100","気象被害_冷害","130","被害率_対前年差","00042","北海道","2017000000","2017年","ﾎﾟｲﾝﾄ","-0.9"
"100","気象被害_冷害","130","被害率_対前年差","N0010","都府県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.4"
"100","気象被害_冷害","130","被害率_対前年差","00043","東北","2017000000","2017年","ﾎﾟｲﾝﾄ","0.8"
"100","気象被害_冷害","130","被害率_対前年差","00049","北陸","2017000000","2017年","ﾎﾟｲﾝﾄ","0.0"
"100","気象被害_冷害","130","被害率_対前年差","N0004","関東・東山","2017000000","2017年","ﾎﾟｲﾝﾄ","0.4"
"100","気象被害_冷害","130","被害率_対前年差","00050","東海","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","00051","近畿","2017000000","2017年","ﾎﾟｲﾝﾄ","0.0"
"100","気象被害_冷害","130","被害率_対前年差","00053","中国","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
