"cat01_code","(F002-21-011)被害項目","area_code","(F002-21-1)全国農業地域・都道府県","unit","value"
"001","合計_被害面積","N0001","全国","ha","3478000"
"001","合計_被害面積","N0002","北海道","ha","196600"
"001","合計_被害面積","N0003","都府県","ha","3282000"
"001","合計_被害面積","N0004","東北","ha","842300"
"001","合計_被害面積","N0005","北陸","ha","447000"
"001","合計_被害面積","N0006","関東・東山","ha","570600"
"001","合計_被害面積","N0007","東海","ha","264500"
"001","合計_被害面積","N0008","近畿","ha","244100"
"001","合計_被害面積","N0009","中国","ha","233500"
"001","合計_被害面積","N0010","四国","ha","171100"
"001","合計_被害面積","N0011","九州","ha","507300"
"001","合計_被害面積","N0012","沖縄","ha","755"
"001","合計_被害面積","01000","北海道","ha","196600"
"001","合計_被害面積","02000","青森県","ha","74300"
"001","合計_被害面積","03000","岩手県","ha","125500"
"001","合計_被害面積","04000","宮城県","ha","171400"
"001","合計_被害面積","05000","秋田県","ha","173400"
"001","合計_被害面積","06000","山形県","ha","151000"
"001","合計_被害面積","07000","福島県","ha","146900"
"001","合計_被害面積","08000","茨城県","ha","107700"
"001","合計_被害面積","09000","栃木県","ha","143800"
"001","合計_被害面積","10000","群馬県","ha","35800"
"001","合計_被害面積","11000","埼玉県","ha","88600"
"001","合計_被害面積","12000","千葉県","ha","79200"
"001","合計_被害面積","13000","東京都","ha","293"
"001","合計_被害面積","14000","神奈川県","ha","5150"
"001","合計_被害面積","15000","新潟県","ha","288400"
"001","合計_被害面積","16000","富山県","ha","62500"
"001","合計_被害面積","17000","石川県","ha","43600"
"001","合計_被害面積","18000","福井県","ha","52500"
"001","合計_被害面積","19000","山梨県","ha","12200"
"001","合計_被害面積","20000","長野県","ha","98000"
"001","合計_被害面積","21000","岐阜県","ha","56700"
"001","合計_被害面積","22000","静岡県","ha","37100"
"001","合計_被害面積","23000","愛知県","ha","87700"
"001","合計_被害面積","24000","三重県","ha","82900"
"001","合計_被害面積","25000","滋賀県","ha","85300"
"001","合計_被害面積","26000","京都府","ha","24900"
"001","合計_被害面積","27000","大阪府","ha","15600"
"001","合計_被害面積","28000","兵庫県","ha","84000"
"001","合計_被害面積","29000","奈良県","ha","14200"
"001","合計_被害面積","30000","和歌山県","ha","20000"
"001","合計_被害面積","31000","鳥取県","ha","24600"
"001","合計_被害面積","32000","島根県","ha","35800"
"001","合計_被害面積","33000","岡山県","ha","78700"
"001","合計_被害面積","34000","広島県","ha","44300"
"001","合計_被害面積","35000","山口県","ha","50100"
"001","合計_被害面積","36000","徳島県","ha","54400"
"001","合計_被害面積","37000","香川県","ha","44300"
"001","合計_被害面積","38000","愛媛県","ha","35600"
"001","合計_被害面積","39000","高知県","ha","37000"
"001","合計_被害面積","40000","福岡県","ha","85400"
"001","合計_被害面積","41000","佐賀県","ha","52900"
"001","合計_被害面積","42000","長崎県","ha","31400"
"001","合計_被害面積","43000","熊本県","ha","102200"
"001","合計_被害面積","44000","大分県","ha","65900"
"001","合計_被害面積","45000","宮崎県","ha","56300"
"001","合計_被害面積","46000","鹿児島県","ha","113100"
"001","合計_被害面積","47000","沖縄県","ha","755"
"001","合計_被害面積","N0013","関東農政局","ha","607500"
"001","合計_被害面積","N0014","東海農政局","ha","227400"
"001","合計_被害面積","N0015","中国四国農政局","ha","404600"
"002","合計_被害実面積","N0001","全国","ha","1546000"
"002","合計_被害実面積","N0002","北海道","ha","114400"
"002","合計_被害実面積","N0003","都府県","ha","1432000"
"002","合計_被害実面積","N0004","東北","ha","407900"
"002","合計_被害実面積","N0005","北陸","ha","210100"
"002","合計_被害実面積","N0006","関東・東山","ha","263500"
"002","合計_被害実面積","N0007","東海","ha","100900"
