"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"002","合計_被害実面積","46000","鹿児島県","ha","24800"
"002","合計_被害実面積","47000","沖縄県","ha","242"
"002","合計_被害実面積","N0013","関東農政局","ha","284700"
"002","合計_被害実面積","N0014","東海農政局","ha","83700"
"002","合計_被害実面積","N0015","中国四国農政局","ha","164300"
"003","合計_被害量","N0001","全国","t","826800"
"003","合計_被害量","N0002","北海道","t","60300"
"003","合計_被害量","N0003","都府県","t","766800"
"003","合計_被害量","N0004","東北","t","211900"
"003","合計_被害量","N0005","北陸","t","56100"
"003","合計_被害量","N0006","関東・東山","t","177600"
"003","合計_被害量","N0007","東海","t","43700"
"003","合計_被害量","N0008","近畿","t","45900"
"003","合計_被害量","N0009","中国","t","64000"
"003","合計_被害量","N0010","四国","t","29900"
"003","合計_被害量","N0011","九州","t","137400"
"003","合計_被害量","N0012","沖縄","t","322"
"003","合計_被害量","01000","北海道","t","60300"
"003","合計_被害量","02000","青森県","t","24900"
"003","合計_被害量","03000","岩手県","t","16400"
"003","合計_被害量","04000","宮城県","t","33500"
"003","合計_被害量","05000","秋田県","t","78300"
"003","合計_被害量","06000","山形県","t","35600"
"003","合計_被害量","07000","福島県","t","23300"
"003","合計_被害量","08000","茨城県","t","43400"
"003","合計_被害量","09000","栃木県","t","37300"
"003","合計_被害量","10000","群馬県","t","27000"
"003","合計_被害量","11000","埼玉県","t","37500"
"003","合計_被害量","12000","千葉県","t","14800"
"003","合計_被害量","13000","東京都","t","56"
"003","合計_被害量","14000","神奈川県","t","954"
"003","合計_被害量","15000","新潟県","t","42800"
"003","合計_被害量","16000","富山県","t","4780"
"003","合計_被害量","17000","石川県","t","3130"
"003","合計_被害量","18000","福井県","t","5510"
"003","合計_被害量","19000","山梨県","t","2570"
"003","合計_被害量","20000","長野県","t","14000"
"003","合計_被害量","21000","岐阜県","t","11700"
"003","合計_被害量","22000","静岡県","t","8500"
"003","合計_被害量","23000","愛知県","t","12300"
"003","合計_被害量","24000","三重県","t","11200"
"003","合計_被害量","25000","滋賀県","t","14600"
"003","合計_被害量","26000","京都府","t","4320"
"003","合計_被害量","27000","大阪府","t","2900"
"003","合計_被害量","28000","兵庫県","t","16500"
"003","合計_被害量","29000","奈良県","t","4290"
"003","合計_被害量","30000","和歌山県","t","3270"
"003","合計_被害量","31000","鳥取県","t","6100"
"003","合計_被害量","32000","島根県","t","14200"
"003","合計_被害量","33000","岡山県","t","20400"
"003","合計_被害量","34000","広島県","t","11300"
"003","合計_被害量","35000","山口県","t","12100"
"003","合計_被害量","36000","徳島県","t","8040"
"003","合計_被害量","37000","香川県","t","6670"
"003","合計_被害量","38000","愛媛県","t","7750"
