"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","002","気象被害_日照不足","009","(全国農業地域)_中国","ha","57000"
"001","被害面積","002","気象被害_日照不足","010","(全国農業地域)_四国","ha","37300"
"001","被害面積","002","気象被害_日照不足","011","(全国農業地域)_九州","ha","105900"
"001","被害面積","002","気象被害_日照不足","012","(全国農業地域)_沖縄","ha","－"
"001","被害面積","002","気象被害_日照不足","013","(都道府県)_北海道","ha","104000"
"001","被害面積","002","気象被害_日照不足","014","(都道府県)_青森","ha","44200"
"001","被害面積","002","気象被害_日照不足","015","(都道府県)_岩手","ha","50300"
"001","被害面積","002","気象被害_日照不足","016","(都道府県)_宮城","ha","67400"
"001","被害面積","002","気象被害_日照不足","017","(都道府県)_秋田","ha","87700"
"001","被害面積","002","気象被害_日照不足","018","(都道府県)_山形","ha","64500"
"001","被害面積","002","気象被害_日照不足","019","(都道府県)_福島","ha","64900"
"001","被害面積","002","気象被害_日照不足","020","(都道府県)_茨城","ha","23600"
"001","被害面積","002","気象被害_日照不足","021","(都道府県)_栃木","ha","23000"
"001","被害面積","002","気象被害_日照不足","022","(都道府県)_群馬","ha","3130"
"001","被害面積","002","気象被害_日照不足","023","(都道府県)_埼玉","ha","18000"
"001","被害面積","002","気象被害_日照不足","024","(都道府県)_千葉","ha","4000"
"001","被害面積","002","気象被害_日照不足","025","(都道府県)_東京","ha","－"
"001","被害面積","002","気象被害_日照不足","026","(都道府県)_神奈川","ha","2520"
"001","被害面積","002","気象被害_日照不足","027","(都道府県)_新潟","ha","118200"
"001","被害面積","002","気象被害_日照不足","028","(都道府県)_富山","ha","32000"
"001","被害面積","002","気象被害_日照不足","029","(都道府県)_石川","ha","3070"
"001","被害面積","002","気象被害_日照不足","030","(都道府県)_福井","ha","3490"
"001","被害面積","002","気象被害_日照不足","031","(都道府県)_山梨","ha","1530"
"001","被害面積","002","気象被害_日照不足","032","(都道府県)_長野","ha","16700"
"001","被害面積","002","気象被害_日照不足","033","(都道府県)_岐阜","ha","12900"
"001","被害面積","002","気象被害_日照不足","034","(都道府県)_静岡","ha","9370"
"001","被害面積","002","気象被害_日照不足","035","(都道府県)_愛知","ha","16500"
"001","被害面積","002","気象被害_日照不足","036","(都道府県)_三重","ha","－"
"001","被害面積","002","気象被害_日照不足","037","(都道府県)_滋賀","ha","14500"
"001","被害面積","002","気象被害_日照不足","038","(都道府県)_京都","ha","14500"
"001","被害面積","002","気象被害_日照不足","039","(都道府県)_大阪","ha","4500"
"001","被害面積","002","気象被害_日照不足","040","(都道府県)_兵庫","ha","34600"
"001","被害面積","002","気象被害_日照不足","041","(都道府県)_奈良","ha","5580"
"001","被害面積","002","気象被害_日照不足","042","(都道府県)_和歌山","ha","610"
"001","被害面積","002","気象被害_日照不足","043","(都道府県)_鳥取","ha","12800"
"001","被害面積","002","気象被害_日照不足","044","(都道府県)_島根","ha","4820"
"001","被害面積","002","気象被害_日照不足","045","(都道府県)_岡山","ha","30200"
"001","被害面積","002","気象被害_日照不足","046","(都道府県)_広島","ha","2480"
"001","被害面積","002","気象被害_日照不足","047","(都道府県)_山口","ha","6670"
"001","被害面積","002","気象被害_日照不足","048","(都道府県)_徳島","ha","7180"
"001","被害面積","002","気象被害_日照不足","049","(都道府県)_香川","ha","9250"
"001","被害面積","002","気象被害_日照不足","050","(都道府県)_愛媛","ha","9350"
"001","被害面積","002","気象被害_日照不足","051","(都道府県)_高知","ha","11500"
"001","被害面積","002","気象被害_日照不足","052","(都道府県)_福岡","ha","9330"
