,date,降水量_香川
193,2020-07-12,17.709323446763197
194,2020-07-13,44.90151159201823
195,2020-07-14,9.096351208051763
196,2020-07-15,0.0
197,2020-07-16,0.31266160335103044
198,2020-07-17,0.7810908038872718
199,2020-07-18,0.20367384649829995
200,2020-07-19,0.0011095174434444144
201,2020-07-20,1.4105592916745544
202,2020-07-21,0.0
203,2020-07-22,3.2920217063751678
204,2020-07-23,10.625596457625619
205,2020-07-24,29.7583564474136
206,2020-07-25,16.448115770757603
207,2020-07-26,21.05066959260549
208,2020-07-27,11.192411672450081
209,2020-07-28,0.0
210,2020-07-29,0.0
211,2020-07-30,0.0
212,2020-07-31,0.0
213,2020-08-01,5.749312480111334
214,2020-08-02,0.5524842755250952
215,2020-08-03,0.0
216,2020-08-04,0.0
217,2020-08-05,0.0
218,2020-08-06,0.0
219,2020-08-07,0.0
220,2020-08-08,0.0
221,2020-08-09,0.0
222,2020-08-10,0.18819958505278875
223,2020-08-11,1.2049751830693023
224,2020-08-12,0.0
225,2020-08-13,0.0
226,2020-08-14,0.0
227,2020-08-15,0.0
228,2020-08-16,0.0
229,2020-08-17,0.0
230,2020-08-18,0.0
231,2020-08-19,0.0
232,2020-08-20,0.08181728251093397
233,2020-08-21,0.0
234,2020-08-22,6.799134354020887
235,2020-08-23,0.0
236,2020-08-24,0.0
237,2020-08-25,0.0
238,2020-08-26,1.2155403074597486
239,2020-08-27,0.0
240,2020-08-28,0.0
241,2020-08-29,0.0
242,2020-08-30,0.0
243,2020-08-31,0.0
244,2020-09-01,2.8659429901788966
245,2020-09-02,2.1740529833205935
246,2020-09-03,0.0
247,2020-09-04,15.136676500577328
248,2020-09-05,0.0
249,2020-09-06,12.728080938237335
250,2020-09-07,0.0
251,2020-09-08,0.0
252,2020-09-09,0.0
253,2020-09-10,0.0
254,2020-09-11,23.606847862088657
255,2020-09-12,0.0
256,2020-09-13,0.0
257,2020-09-14,0.0
258,2020-09-15,0.0
259,2020-09-16,1.907446131031705
260,2020-09-17,4.392921321458437
261,2020-09-18,4.415329784625809
262,2020-09-19,0.6678206752887608
263,2020-09-20,0.05620870797805897
264,2020-09-21,0.0
265,2020-09-22,0.0
266,2020-09-23,0.0
267,2020-09-24,48.612983746668554
268,2020-09-25,15.036081092352253
269,2020-09-26,5.625949367712636
270,2020-09-27,0.0
271,2020-09-28,0.0
272,2020-09-29,0.0
273,2020-09-30,0.0
274,2020-10-01,0.0
275,2020-10-02,0.0
276,2020-10-03,3.495551767700862
277,2020-10-04,0.0
278,2020-10-05,0.0
279,2020-10-06,0.0
280,2020-10-07,15.2677792828275
281,2020-10-08,108.52343792481203
282,2020-10-09,8.677646304719692
283,2020-10-10,0.0
284,2020-10-11,0.0
285,2020-10-12,0.0
286,2020-10-13,0.0
287,2020-10-14,0.0
288,2020-10-15,0.0
289,2020-10-16,0.0
290,2020-10-17,0.0
291,2020-10-18,0.0
292,2020-10-19,0.0
293,2020-10-20,0.0
294,2020-10-21,0.0
295,2020-10-22,2.2061422447049592
296,2020-10-23,0.0
297,2020-10-24,0.0
298,2020-10-25,0.0
299,2020-10-26,0.00020291242230192322
300,2020-10-27,0.05463142458144842
301,2020-10-28,0.0
302,2020-10-29,0.0
303,2020-10-30,1.0504254922102592
304,2020-10-31,6.449409089113556
305,2020-11-01,1.016368922656241
306,2020-11-02,8.25420042659395
307,2020-11-03,0.0
308,2020-11-04,0.0
309,2020-11-05,0.0
310,2020-11-06,7.869876550139118
311,2020-11-07,0.0
312,2020-11-08,0.0
313,2020-11-09,0.0
314,2020-11-10,0.0
315,2020-11-11,0.0
316,2020-11-12,0.0
317,2020-11-13,0.0
318,2020-11-14,0.0
319,2020-11-15,0.7850628677752792
320,2020-11-16,0.0
321,2020-11-17,0.0
322,2020-11-18,0.0
323,2020-11-19,7.523059893407885
324,2020-11-20,0.0
325,2020-11-21,0.0
326,2020-11-22,8.214170767006971
327,2020-11-23,0.0
328,2020-11-24,0.0
329,2020-11-25,0.0
330,2020-11-26,0.0
331,2020-11-27,9.255069135632887
332,2020-11-28,0.0
333,2020-11-29,0.0
334,2020-11-30,0.0
335,2020-12-01,0.0
336,2020-12-02,0.0
337,2020-12-03,0.0
338,2020-12-04,0.0
339,2020-12-05,0.0
340,2020-12-06,0.0
341,2020-12-07,0.0
342,2020-12-08,8.743990212835882
343,2020-12-09,0.0
344,2020-12-10,0.0
345,2020-12-11,0.36960404900521415
346,2020-12-12,0.0
347,2020-12-13,8.985394360159821
348,2020-12-14,0.0
349,2020-12-15,0.0
350,2020-12-16,0.0
351,2020-12-17,0.0
352,2020-12-18,0.0
353,2020-12-19,0.1477291546341528
354,2020-12-20,0.0
355,2020-12-21,0.0
356,2020-12-22,0.0
357,2020-12-23,0.0
358,2020-12-24,4.1680746814018805
359,2020-12-25,0.0
360,2020-12-26,0.0
361,2020-12-27,0.677037879521906
362,2020-12-28,0.0
363,2020-12-29,0.0
364,2020-12-30,0.0
365,2020-12-31,0.0
366,2021-01-01,0.0
367,2021-01-02,0.0
368,2021-01-03,0.10457638513781775
369,2021-01-04,0.0
370,2021-01-05,3.5279185750414506
371,2021-01-06,1.8414453066229552
372,2021-01-07,0.0
373,2021-01-08,0.0
374,2021-01-09,0.0
375,2021-01-10,0.0
376,2021-01-11,0.0
377,2021-01-12,0.0
378,2021-01-13,0.0
379,2021-01-14,0.0
380,2021-01-15,0.0
381,2021-01-16,0.9903884637257135
382,2021-01-17,0.0
383,2021-01-18,0.0
384,2021-01-19,0.0
385,2021-01-20,0.0
386,2021-01-21,0.0
387,2021-01-22,33.48586683653637
388,2021-01-23,0.0
389,2021-01-24,0.0
390,2021-01-25,0.0
391,2021-01-26,0.0
392,2021-01-27,0.0
393,2021-01-28,0.0
394,2021-01-29,0.0
395,2021-01-30,0.0
396,2021-01-31,0.0
397,2021-02-01,0.0
398,2021-02-02,0.0
399,2021-02-03,0.0
400,2021-02-04,0.0
401,2021-02-05,0.0
402,2021-02-06,0.0
403,2021-02-07,0.0
404,2021-02-08,0.0
405,2021-02-09,0.0
406,2021-02-10,0.0
407,2021-02-11,14.389264050778632
408,2021-02-12,0.0
409,2021-02-13,0.0
410,2021-02-14,19.01590611792938
411,2021-02-15,0.0
412,2021-02-16,0.0
413,2021-02-17,0.0
414,2021-02-18,0.0
415,2021-02-19,0.0
416,2021-02-20,0.0
417,2021-02-21,0.0
418,2021-02-22,0.0
419,2021-02-23,0.0
420,2021-02-24,0.0
421,2021-02-25,0.0
422,2021-02-26,14.84201034376548
423,2021-02-27,1.721709431877165
424,2021-02-28,0.2698571726825562
425,2021-03-01,0.0
426,2021-03-02,0.0
427,2021-03-03,0.0
428,2021-03-04,0.0
429,2021-03-05,0.0
430,2021-03-06,0.0
431,2021-03-07,0.0
432,2021-03-08,0.0
433,2021-03-09,0.0
434,2021-03-10,0.0
435,2021-03-11,25.041803529336093
436,2021-03-12,6.3660256218605245
437,2021-03-13,0.0
438,2021-03-14,0.0
439,2021-03-15,0.0
440,2021-03-16,0.0
441,2021-03-17,0.0
442,2021-03-18,0.0
443,2021-03-19,0.0
444,2021-03-20,1.5841830557140753
445,2021-03-21,13.467949161500837
446,2021-03-22,0.0
447,2021-03-23,0.0
448,2021-03-24,9.268353907123736
449,2021-03-25,0.6432583125755247
450,2021-03-26,0.0
451,2021-03-27,8.359084470546541
452,2021-03-28,12.082727959319287
453,2021-03-29,0.0
454,2021-03-30,0.0
455,2021-03-31,0.0
456,2021-04-01,0.0
457,2021-04-02,0.0
458,2021-04-03,0.0
459,2021-04-04,0.0
460,2021-04-05,0.0
461,2021-04-06,0.0
462,2021-04-07,0.0
463,2021-04-08,0.0
464,2021-04-09,0.0
465,2021-04-10,0.0
466,2021-04-11,0.0
467,2021-04-12,10.233787265372868
468,2021-04-13,0.0
469,2021-04-14,0.0
