,hanjun_start,積算温度_福建省_1半旬前,積算温度_福建省_2半旬前,積算温度_福建省_3半旬前,積算温度_福建省_4半旬前,積算温度_福建省_5半旬前,積算温度_福建省_6半旬前,積算温度_福建省_7半旬前,積算温度_福建省_8半旬前,積算温度_福建省_9半旬前,積算温度_福建省_10半旬前,積算温度_福建省_11半旬前,積算温度_福建省_12半旬前,積算温度_福建省_13半旬前,積算温度_福建省_14半旬前,積算温度_福建省_15半旬前,積算温度_福建省_16半旬前,積算温度_福建省_17半旬前,積算温度_福建省_18半旬前
0,2020-01-01,34.762491426611966,43.388596438545555,43.388596438545555,49.25381262588131,28.276239929506705,31.274977071644535,59.461438552007095,84.67085940871831,67.19242689900749,71.06518396633595,68.90833917781633,73.40695767695313,73.40695767695313,66.84925166857695,79.0785882876566,75.81124973025477,89.99384133928862,98.87255449229141
1,2020-01-06,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343,49.25381262588131,28.276239929506705,31.274977071644535,59.461438552007095,84.67085940871831,67.19242689900749,71.06518396633595,68.90833917781633,73.40695767695313,70.12810467276503,66.84925166857695,79.0785882876566,75.81124973025477,89.99384133928862
2,2020-01-11,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343,49.25381262588131,28.276239929506705,31.274977071644535,59.461438552007095,84.67085940871831,67.19242689900749,71.06518396633595,68.90833917781633,73.40695767695313,70.12810467276503,66.84925166857695,79.0785882876566,75.81124973025477
3,2020-01-16,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343,49.25381262588131,28.276239929506705,31.274977071644535,59.461438552007095,84.67085940871831,67.19242689900749,71.06518396633595,68.90833917781633,73.40695767695313,70.12810467276503,66.84925166857695,79.0785882876566
4,2020-01-21,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343,49.25381262588131,28.276239929506705,31.274977071644535,59.461438552007095,84.67085940871831,67.19242689900749,71.06518396633595,68.90833917781633,73.40695767695313,70.12810467276503,66.84925166857695
5,2020-01-26,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.31011496842823,49.25381262588131,28.276239929506705,31.274977071644535,59.461438552007095,84.67085940871831,67.19242689900749,71.06518396633595,68.90833917781633,73.40695767695313,70.3511385437908
6,2020-02-01,22.684139871961015,28.691148245195528,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816,34.762491426611966,43.36641731097515,43.00008350343303,52.46918159257677,35.28481423536199,29.116490882606985,59.461438552007095,84.67085940871831,47.8379853415934,75.8642911091931,68.84936385052531,73.85302541900464
7,2020-02-06,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816,34.762491426611966,43.36641731097515,43.00008350343303,52.46918159257677,35.28481423536199,29.116490882606985,59.461438552007095,84.67085940871831,47.8379853415934,75.8642911091931,68.84936385052531
8,2020-02-11,32.05571050927937,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816,34.762491426611966,43.36641731097515,43.00008350343303,52.46918159257677,35.28481423536199,29.116490882606985,59.461438552007095,84.67085940871831,47.8379853415934,75.8642911091931
9,2020-02-16,0.0,32.05571050927937,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816,34.762491426611966,43.36641731097515,43.00008350343303,52.46918159257677,35.28481423536199,29.116490882606985,59.461438552007095,84.67085940871831,47.8379853415934
10,2020-02-21,22.012317921881895,0.0,32.05571050927937,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816,34.762491426611966,43.36641731097515,43.00008350343303,52.46918159257677,35.28481423536199,29.116490882606985,59.461438552007095,84.67085940871831
11,2020-02-26,56.073646822399816,22.012317921881895,0.0,32.05571050927937,24.141143580116058,22.684139871961015,26.841527603179678,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816,34.762491426611966,43.36641731097515,43.00008350343303,52.46918159257677,35.28481423536199,29.116490882606985,59.461438552007095
12,2020-03-01,68.88612879441825,50.314731513451456,20.625264800028926,31.597687607898266,27.86941559400716,23.984464015969085,21.626884620918013,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,47.92888901556116,49.25381262588131,28.276239929506705,31.274977071644535
13,2020-03-06,52.52554338899553,68.88612879441825,50.314731513451456,20.625264800028926,31.597687607898266,27.791075811933673,23.984464015969085,21.626884620918013,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343,49.25381262588131,28.276239929506705
14,2020-03-11,47.759181465215626,52.52554338899553,68.88612879441825,50.314731513451456,20.625264800028926,31.597687607898266,27.791075811933673,23.984464015969085,21.626884620918013,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343,49.25381262588131
15,2020-03-16,50.034876551593136,47.759181465215626,52.52554338899553,68.88612879441825,50.314731513451456,20.625264800028926,31.597687607898266,27.791075811933673,23.984464015969085,21.626884620918013,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555,46.32120453221343
16,2020-03-21,41.99844822850877,50.034876551593136,47.759181465215626,52.52554338899553,68.88612879441825,50.314731513451456,20.625264800028926,31.597687607898266,27.791075811933673,23.984464015969085,21.626884620918013,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966,43.388596438545555
17,2020-03-26,66.11599185369029,41.99844822850877,50.034876551593136,47.759181465215626,52.52554338899553,68.88612879441825,50.314731513451456,20.625264800028926,31.597687607898266,11.992232007984542,23.984464015969085,21.626884620918013,28.655744604638823,34.69815661843004,30.2484558521562,49.677481657315646,28.13947318731135,34.762491426611966
18,2020-04-01,47.87918278719515,66.11599185369029,41.99844822850877,50.034876551593136,53.26082555334118,48.66262250205329,70.29908556322845,56.073646822399816,22.012317921881895,0.0,32.05571050927937,24.141143580116058,22.684139871961015,28.691148245195528,32.05617058544134,30.2484558521562,45.43504869593941,40.422320079844816
19,2020-04-06,29.64237372070001,47.87918278719515,66.11599185369029,41.99844822850877,50.034876551593136,53.26082555334118,48.66262250205329,70.29908556322845,56.073646822399816,22.012317921881895,0.0,32.05571050927937,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134,30.2484558521562,45.43504869593941
20,2020-04-11,64.21317076679631,29.64237372070001,47.87918278719515,66.11599185369029,41.99844822850877,50.034876551593136,53.26082555334118,48.66262250205329,70.29908556322845,56.073646822399816,22.012317921881895,0.0,32.05571050927937,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134,30.2484558521562
21,2020-04-16,56.198082560063476,64.21317076679631,29.64237372070001,47.87918278719515,66.11599185369029,41.99844822850877,50.034876551593136,53.26082555334118,48.66262250205329,70.29908556322845,56.073646822399816,22.012317921881895,0.0,32.05571050927937,24.141143580116058,22.684139871961015,27.37015522870118,32.05617058544134
