,hanjun_start,積算温度_香川県_1半旬前,積算温度_香川県_2半旬前,積算温度_香川県_3半旬前,積算温度_香川県_4半旬前,積算温度_香川県_5半旬前,積算温度_香川県_6半旬前,積算温度_香川県_7半旬前,積算温度_香川県_8半旬前,積算温度_香川県_9半旬前,積算温度_香川県_10半旬前,積算温度_香川県_11半旬前,積算温度_香川県_12半旬前,積算温度_香川県_13半旬前,積算温度_香川県_14半旬前,積算温度_香川県_15半旬前,積算温度_香川県_16半旬前,積算温度_香川県_17半旬前,積算温度_香川県_18半旬前
148,2022-01-21,0.0,0.0,0.10067581324689061,0.0,0.06575514657054247,1.0727875534464453,0.0011981393600532372,5.611760207677591,11.246177406850688,0.3296038504910263,5.041116834249647,2.594952849140934,23.377079085028882,21.00240939560539,17.7012279948477,33.47355904563702,30.070394700778554,25.05625391548823
149,2022-01-26,0.0,0.0,0.0,0.10067581324689061,0.0,0.06575514657054247,1.0727875534464453,0.0011981393600532372,5.611760207677591,11.246177406850688,0.3296038504910263,5.041116834249647,2.594952849140934,23.377079085028882,21.00240939560539,17.7012279948477,33.47355904563702,30.070394700778554
150,2022-02-01,0.07238093000674543,0.0,0.0,0.0,0.10067581324689061,0.0,0.061138193237176654,0.30317418831932774,0.8696613298564063,5.383913804444957,11.999405922567457,2.481511867844502,4.169452888847203,2.2564016272769,23.66841659618802,24.558813078513506,5.388086257069226,34.293972718914645
151,2022-02-06,0.00415071504433626,0.07238093000674543,0.0,0.0,0.0,0.10067581324689061,0.0,0.061138193237176654,0.30317418831932774,0.8696613298564063,5.383913804444957,11.999405922567457,2.481511867844502,4.169452888847203,2.2564016272769,23.66841659618802,24.558813078513506,5.388086257069226
152,2022-02-11,0.0,0.00415071504433626,0.07238093000674543,0.0,0.0,0.0,0.10067581324689061,0.0,0.061138193237176654,0.30317418831932774,0.8696613298564063,5.383913804444957,11.999405922567457,2.481511867844502,4.169452888847203,2.2564016272769,23.66841659618802,24.558813078513506
153,2022-02-16,1.9440124355902693,0.0,0.00415071504433626,0.07238093000674543,0.0,0.0,0.0,0.10067581324689061,0.0,0.061138193237176654,0.30317418831932774,0.8696613298564063,5.383913804444957,11.999405922567457,2.481511867844502,4.169452888847203,2.2564016272769,23.66841659618802
154,2022-02-21,0.0,1.9440124355902693,0.0,0.00415071504433626,0.07238093000674543,0.0,0.0,0.0,0.10067581324689061,0.0,0.061138193237176654,0.30317418831932774,0.8696613298564063,5.383913804444957,11.999405922567457,2.481511867844502,4.169452888847203,2.2564016272769
155,2022-02-26,0.3002031551003246,0.0,1.9440124355902693,0.0,0.00415071504433626,0.07238093000674543,0.0,0.0,0.0,0.10067581324689061,0.0,0.061138193237176654,0.30317418831932774,0.8696613298564063,5.383913804444957,11.999405922567457,2.481511867844502,4.169452888847203
156,2022-03-01,5.988935907375291,0.0,0.0,1.9616168616580243,0.003996016841703244,0.0,0.1085713950101182,0.0,0.0,0.11665345189432613,0.0,0.0,0.06575514657054247,1.0727875534464453,5.414061986092244,6.379338399975044,8.508234467258829,0.2726381971526772
157,2022-03-06,1.8640144160439405,5.988935907375291,0.0,0.0,1.9616168616580243,0.003996016841703244,0.0,0.1085713950101182,0.0,0.0,0.11665345189432613,0.0,0.0,0.06575514657054247,1.0727875534464453,5.414061986092244,6.379338399975044,8.508234467258829
158,2022-03-11,16.902335490767392,1.8640144160439405,5.988935907375291,0.0,0.0,1.9616168616580243,0.003996016841703244,0.0,0.1085713950101182,0.0,0.0,0.11665345189432613,0.0,0.0,0.06575514657054247,1.0727875534464453,5.414061986092244,6.379338399975044
159,2022-03-16,46.622200442541875,16.902335490767392,1.8640144160439405,5.988935907375291,0.0,0.0,1.9616168616580243,0.003996016841703244,0.0,0.1085713950101182,0.0,0.0,0.11665345189432613,0.0,0.0,0.06575514657054247,1.0727875534464453,5.414061986092244
160,2022-03-21,38.474294037494865,46.622200442541875,16.902335490767392,1.8640144160439405,5.988935907375291,0.0,0.0,1.9616168616580243,0.003996016841703244,0.0,0.1085713950101182,0.0,0.0,0.11665345189432613,0.0,0.0,0.06575514657054247,1.0727875534464453
161,2022-03-26,33.22074895456482,38.474294037494865,46.622200442541875,16.902335490767392,1.8640144160439405,5.988935907375291,0.0,0.0,1.9616168616580243,0.003996016841703244,0.0,0.1085713950101182,0.0,0.0,0.11665345189432613,0.0,0.0,0.06575514657054247
162,2022-04-01,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529,0.1085713950101182,0.0,0.0,0.0,0.10067581324689061,0.0
163,2022-04-06,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529,0.1085713950101182,0.0,0.0,0.0,0.10067581324689061
164,2022-04-11,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529,0.1085713950101182,0.0,0.0,0.0
165,2022-04-16,68.77861517016723,59.07257758539694,29.65872625256477,1.3707933036994837,33.22074895456482,22.205938019598985,45.61821250137058,17.95916028442117,1.546885799861852,8.050717219533686,0.0005611873326131092,0.0,2.735225297185614,0.0,0.003947986656017529,0.1085713950101182,0.0,0.0
