,日,4月_メス,4月_オス,5月_メス,5月_オス,6月_メス,6月_オス,7月_メス,7月_オス,8月_メス,8月_オス,9月_メス,9月_オス,10月_メス,10月_オス,11月_メス,11月_オス
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,102.0,25.0,16.0,18.0,13.0,1.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,91.0,40.0,25.0,4.0,5.0,0.0,0.0
2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,99.0,645.0,656.0,13.0,4.0,0.0,0.0
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,39.0,179.0,92.0,26.0,23.0,0.0,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,12.0,33.0,10.0,2.0,1.0,0.0,0.0
5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,13.0,9.0,8.0,0.0,0.0,0.0,0.0
6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,16.0,21.0,12.0,0.0,2.0,1.0,0.0
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,36.0,101.0,81.0,0.0,0.0,0.0,0.0
8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,101.0,46.0,1.0,0.0,0.0,0.0
9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,16.0,44.0,30.0,0.0,0.0
10,11.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,1.0,37.0,33.0,21.0,13.0,0.0,0.0
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,7.0,11.0,0.0,2.0,0.0,0.0
12,13.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,10.0,8.0,0.0,1.0,4.0,2.0,0.0,0.0
13,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0
14,15.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,14.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
15,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,12.0,36.0,37.0,1.0,1.0,0.0,0.0
16,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,36.0,26.0,0.0,0.0,0.0,0.0
17,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,14.0,5.0,6.0,9.0,0.0,0.0,0.0,0.0
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,4.0,23.0,19.0,0.0,0.0,0.0,0.0
19,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,8.0,5.0,14.0,0.0,0.0,0.0,0.0
20,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0
21,22.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,58.0,61.0,8.0,5.0,0.0,0.0,0.0,0.0
22,23.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,184.0,254.0,10.0,2.0,2.0,0.0,0.0,0.0
23,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,124.0,106.0,16.0,8.0,0.0,0.0,0.0,0.0
24,25.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,209.0,163.0,10.0,7.0,0.0,0.0,0.0,0.0
25,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.0,31.0,16.0,15.0,0.0,0.0,0.0,0.0
26,27.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,7.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0
27,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,74.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0
28,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,95.0,61.0,9.0,7.0,0.0,0.0,0.0,0.0
29,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,170.0,199.0,58.0,40.0,0.0,0.0,0.0,0.0
30,31.0,,,0.0,0.0,,,6.0,3.0,28.0,31.0,,,0.0,0.0,,
