,日,4月_メス,4月_オス,5月_メス,5月_オス,6月_メス,6月_オス,7月_メス,7月_オス,8月_メス,8月_オス,9月_メス,9月_オス,10月_メス,10月_オス,11月_メス,11月_オス
0,1,0.0,0.0,0,0,9.0,3.0,0,0,6,8,欠測,欠測,0,1,0.0,0.0
1,2,0.0,0.0,0,0,0.0,0.0,0,0,7,8,欠測,欠測,0,0,0.0,0.0
2,3,0.0,0.0,0,0,1.0,0.0,3,3,0,2,欠測,欠測,0,1,0.0,0.0
3,4,0.0,0.0,0,0,1.0,2.0,0,1,5,7,欠測,欠測,0,1,0.0,0.0
4,5,0.0,0.0,0,0,1.0,1.0,1,4,40,13,欠測,欠測,0,0,0.0,0.0
5,6,0.0,0.0,0,0,0.0,0.0,2,2,0,2,欠測,欠測,0,0,0.0,0.0
6,7,0.0,0.0,0,0,0.0,0.0,3,2,0,3,欠測,欠測,0,0,0.0,0.0
7,8,0.0,0.0,0,0,0.0,0.0,13,13,4,0,5,2,0,0,0.0,0.0
8,9,0.0,0.0,0,0,0.0,0.0,7,7,7,12,5,3,0,0,0.0,0.0
9,10,0.0,0.0,0,0,7.0,6.0,0,3,2,9,6,2,0,0,0.0,0.0
10,11,0.0,0.0,0,0,0.0,2.0,1,0,12,20,0,1,0,0,0.0,0.0
11,12,0.0,0.0,0,0,4.0,1.0,0,0,2,3,1,2,0,0,0.0,0.0
12,13,0.0,0.0,0,0,0.0,0.0,6,3,7,12,0,0,0,0,0.0,0.0
13,14,0.0,0.0,0,0,2.0,0.0,0,11,17,45,3,2,0,0,0.0,0.0
14,15,0.0,0.0,0,0,0.0,0.0,0,1,5,8,2,4,0,0,0.0,0.0
15,16,0.0,0.0,0,0,0.0,0.0,0,1,2,0,0,4,0,0,0.0,0.0
16,17,0.0,0.0,0,0,3.0,0.0,3,1,23,8,0,2,0,0,0.0,0.0
17,18,0.0,0.0,0,0,0.0,0.0,1,0,2,1,1,3,0,0,0.0,0.0
18,19,0.0,0.0,0,0,0.0,0.0,0,1,0,0,4,6,1,0,0.0,1.0
19,20,0.0,0.0,0,0,0.0,0.0,0,0,1,0,1,2,0,0,0.0,0.0
20,21,0.0,0.0,0,0,1.0,1.0,1,1,1,2,9,19,0,0,0.0,0.0
21,22,0.0,0.0,0,0,0.0,1.0,0,0,0,1,1,1,1,1,0.0,0.0
22,23,0.0,0.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0
23,24,0.0,0.0,0,0,0.0,0.0,0,1,5,0,1,1,0,0,0.0,0.0
24,25,0.0,0.0,0,0,6.0,2.0,2,0,4,0,5,0,0,0,0.0,0.0
25,26,0.0,0.0,1,0,0.0,0.0,1,3,2,1,1,2,0,0,0.0,0.0
26,27,0.0,0.0,0,0,2.0,1.0,0,1,19,4,1,1,0,0,0.0,0.0
27,28,0.0,0.0,3,1,3.0,0.0,2,1,欠測,欠測,4,5,0,0,0.0,0.0
28,29,0.0,0.0,11,2,2.0,0.0,6,9,欠測,欠測,0,0,0,0,0.0,0.0
29,30,0.0,0.0,1,5,0.0,1.0,3,1,欠測,欠測,2,8,0,0,0.0,0.0
30,31,,,1,0,,,5,23,欠測,欠測,,,0,0,,
